AGS,Bgast,Bgesund
8111,12014,47955
8115,3468,15197
8116,5045,21937
8117,1830,11434
8118,4203,19903
8119,3196,20331
8121,1871,10180
8125,2861,13192
8126,1286,4523
8127,1749,9836
8128,1135,7828
8135,787,5854
8136,2466,16396
8211,1922,5488
8212,4423,22674
8215,3310,16788
8216,1807,8120
8221,3790,24814
8222,4875,23252
8225,823,8676
8226,4903,21459
8231,1260,9867
8235,2196,8504
8236,1101,5601
8237,2761,5996
8311,4478,32658
8315,5806,11711
8316,1422,7580
8317,5424,24853
8325,1027,6436
8326,2319,11788
8327,784,4748
8335,5165,15963
8336,3392,10575
8337,2309,8117
8415,2653,15553
8416,1874,20476
8417,1260,7387
8421,2790,13663
8425,1033,6214
8426,1304,7741
8435,4603,12588
8436,3264,20112
8437,1086,7365
